Gerador Caterpillar Totals,Gerador Caterpillar Totals,Gerador Caterpillar Totals,Gerador Caterpillar Totals,Gerador Caterpillar Totals,Gerador Caterpillar Totals,Gerador Caterpillar Totals,Gerador Caterpillar Totals,38000,0,38000,38000,,,,38000,35000,,,,
,,Grain Bin 1,Grain Bin 1,Grain Bin 1,Grain Bin 1,Grain Bin 1,Grain Bin 1,Grain Bin 1,Grain Bin 1,Grain Bin 1,Grain Bin 1,Grain Bin 1,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,570567.48,0,570567.48,570567.48,,,,,,,,,
Grain Bin 1 Totals,Grain Bin 1 Totals,Grain Bin 1 Totals,Grain Bin 1 Totals,Grain Bin 1 Totals,Grain Bin 1 Totals,Grain Bin 1 Totals,Grain Bin 1 Totals,570567.48,0,570567.48,570567.48,,,,,,23774,23774,,
,,Grain Bin 2,Grain Bin 2,Grain Bin 2,Grain Bin 2,Grain Bin 2,Grain Bin 2,Grain Bin 2,Grain Bin 2,Grain Bin 2,Grain Bin 2,Grain Bin 2,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,570567.48,0,570567.48,570567.48,,,,,,,,,
Grain Bin 2 Totals,Grain Bin 2 Totals,Grain Bin 2 Totals,Grain Bin 2 Totals,Grain Bin 2 Totals,Grain Bin 2 Totals,Grain Bin 2 Totals,Grain Bin 2 Totals,570567.48,0,570567.48,570567.48,,,,,,23774,23774,,
,,Grain Cleaner,Grain Cleaner,Grain Cleaner,Grain Cleaner,Grain Cleaner,Grain Cleaner,Grain Cleaner,Grain Cleaner,Grain Cleaner,Grain Cleaner,Grain Cleaner,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,121118.78,0,121118.78,121118.78,,,,,,,,,
Grain Cleaner Totals,Grain Cleaner Totals,Grain Cleaner Totals,Grain Cleaner Totals,Grain Cleaner Totals,Grain Cleaner Totals,Grain Cleaner Totals,Grain Cleaner Totals,121118.78,0,121118.78,121118.78,,,,,,5047,5047,,
,,Grain Dryer,Grain Dryer,Grain Dryer,Grain Dryer,Grain Dryer,Grain Dryer,Grain Dryer,Grain Dryer,Grain Dryer,Grain Dryer,Grain Dryer,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,253923.36,0,253923.36,253923.36,,,,,,,,,
